Engine Torque Table for Vehicle POC,
RPM,Torque
0,370
700,400
800,416.7
900,458.3
1000,551.2
1100,640.8
1200,724.6
1300,758.1
1400,793.3
1500,794.1
1600,789.5
1700,787.3
1800,768.7
1900,752
2000,716.9
2100,686.5
2200,674.7
2300,636.4
2400,598.7
2500,552.1
2525,480
2700,0
